location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests
FS,2020-05-30,261,30,8,0,0,34482,1066
FS,2020-05-31,278,17,8,0,0,35624,1142
FS,2020-06-01,285,7,8,0,0,36489,865
FS,2020-06-02,299,14,8,0,0,37412,923
FS,2020-06-03,319,20,8,0,0,38613,1201
FS,2020-06-04,322,3,9,1,0,40318,1705
FS,2020-06-05,336,14,9,0,0,41801,1483
FS,2020-06-06,348,12,9,0,0,43805,2004
FS,2020-06-07,361,13,9,0,0,45200,1395
FS,2020-06-08,373,12,9,0,0,46330,1130
FS,2020-06-09,391,18,9,0,0,47559,1229
FS,2020-06-10,401,10,9,0,0,49049,1490
FS,2020-06-11,406,5,9,0,0,50523,1474
FS,2020-06-12,435,29,9,0,0,52096,1573
FS,2020-06-13,457,22,9,0,0,53445,1349
FS,2020-06-14,495,38,9,0,0,55119,1674
FS,2020-06-15,512,17,9,0,0,56444,1325
FS,2020-06-16,578,66,9,0,0,57602,1158
FS,2020-06-17,608,30,9,0,0,59314,1712
FS,2020-06-18,649,41,9,0,0,60333,1019
FS,2020-06-19,658,9,9,0,0,61922,1589
FS,2020-06-20,700,42,9,0,0,63552,1630
FS,2020-06-21,733,33,9,0,0,65245,1693
FS,2020-06-22,772,39,9,0,0,66479,1234
FS,2020-06-23,814,42,9,0,0,67933,1454
FS,2020-06-24,889,75,9,0,0,69609,1676
FS,2020-06-25,976,87,9,0,0,71727,2118
FS,2020-06-26,1069,93,9,0,0,73353,1626
FS,2020-06-27,1160,91,9,0,0,75117,1764
FS,2020-06-28,1279,119,9,0,0,76988,1871
FS,2020-06-29,1377,98,9,0,0,78457,1469
FS,2020-06-30,1514,137,9,0,0,80079,1622
FS,2020-07-01,1672,158,9,0,0,81893,1814
FS,2020-07-02,1886,214,9,0,0,83818,1925
FS,2020-07-03,2130,244,9,0,0,85735,1917
FS,2020-07-04,2376,246,9,0,0,88040,2305
FS,2020-07-05,2553,177,19,10,0,89911,1871
FS,2020-07-06,2804,251,19,0,0,91579,1668
FS,2020-07-07,3034,230,19,0,0,93712,2133
FS,2020-07-08,3259,225,19,0,0,95523,1811
FS,2020-07-09,3724,465,19,0,0,98282,2759
FS,2020-07-10,4221,497,19,0,0,101066,2784
FS,2020-07-11,4679,458,19,0,0,103588,2522
FS,2020-07-12,5224,545,19,0,0,105839,2251
FS,2020-07-13,5632,408,35,16,0,107816,1977
FS,2020-07-14,5973,341,35,0,0,109688,1872
FS,2020-07-15,6561,588,35,0,0,111918,2230
FS,2020-07-16,7312,751,45,10,0,114217,2299
FS,2020-07-17,8290,978,47,2,0,116582,2365
FS,2020-07-18,9004,714,47,0,0,119023,2441
FS,2020-07-19,9993,989,47,0,0,121431,2408
FS,2020-07-20,10727,734,57,10,0,123096,1665
FS,2020-07-21,11352,625,57,0,0,124632,1536
FS,2020-07-22,12332,980,62,5,0,127017,2385
FS,2020-07-23,13443,1111,62,0,0,129308,2291
FS,2020-07-24,14542,1099,63,1,0,131881,2573
FS,2020-07-25,15512,970,63,0,0,134157,2276
FS,2020-07-26,16482,970,63,0,0,136268,2111
FS,2020-07-27,17222,740,154,91,0,137665,1397
FS,2020-07-28,18134,912,154,0,0,139061,1396
FS,2020-07-29,19207,1073,154,0,0,141150,2089
FS,2020-07-30,20398,1191,154,0,0,143355,2205
FS,2020-07-31,21262,864,154,0,0,145393,2038
FS,2020-08-01,22308,1046,154,0,0,147478,2085
